ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _last_editor_used_jetpack,Meta: _product_addons_exclude_global
,variable,5000-000000-Sveterans-shirt-i-am-a-grumpy-veteran-i-dont-care-t-shirt,I Am A Grumpy Veteran I Don't Care T-Shirt,-1,0,visible,,"<ul>
<li>Preshrunk jersey knit</li>
<li>Seamless double-needle 7/8"" collar</li>
<li>Taped neck and shoulders</li>
<li>Tear away label</li>
<li>Double-needle sleeve and bottom hems</li>
<li>Quarter-turned to eliminate center crease</li>
<li>Fiber content varies by color, see color list for exceptions</li>
<li><span>Printed in the USA</span></li>
</ul>
<p><strong>Special Features</strong></p>
<div>
<div>
<ul>
<li>
<em>Family Sizing </em>- This Gildan style is offered in Adult, Ladies and Youth sizings </li>
</ul>
</div>
<div>
<ul>
<li>
<em>HiVis</em> - This Gildan style includes specific colors that are high visibility certified for use as background colors. See color specific information for details.</li>
</ul>
</div>
,variation,5000-14370D-L,Forest Green / L,1,0,visible,,,,,,,1,999,2,0,0,,,,,0,,22.95,,,,,https://cdn.shopify.com/s/files/1/0050/1429/0521/products/regular_25a92843-2520-43da-bcb0-ba9157d2833d.jpg?v=1601021294,,,5000-000000-Sveterans-shirt-i-am-a-grumpy-veteran-i-dont-care-t-shirt,,,,,,0,Color,Forest Green,1,0,Size,L,1,0,classic-editor,
,variation,5000-14370D-XL,Forest Green / XL,1,0,visible,,,,,,,1,999,2,0,0,,,,,0,,22.95,,,,,https://cdn.shopify.com/s/files/1/0050/1429/0521/products/regular_25a92843-2520-43da-bcb0-ba9157d2833d.jpg?v=1601021294,,,5000-000000-Sveterans-shirt-i-am-a-grumpy-veteran-i-dont-care-t-shirt,,,,,,0,Color,Forest Green,1,0,Size,XL,1,0,classic-editor,
,variation,5000-14370D-2XL,Forest Green / 2XL,1,0,visible,,,,,,,1,999,2,0,0,,,,,0,,24.95,,,,,https://cdn.shopify.com/s/files/1/0050/1429/0521/products/regular_25a92843-2520-43da-bcb0-ba9157d2833d.jpg?v=1601021294,,,5000-000000-Sveterans-shirt-i-am-a-grumpy-veteran-i-dont-care-t-shirt,,,,,,0,Color,Forest Green,1,0,Size,2XL,1,0,classic-editor,
,variation,5000-14370D-3XL,Forest Green / 3XL,1,0,visible,,,,,,,1,999,2,0,0,,,,,0,,25.95,,,,,https://cdn.shopify.com/s/files/1/0050/1429/0521/products/regular_25a92843-2520-43da-bcb0-ba9157d2833d.jpg?v=1601021294,,,5000-000000-Sveterans-shirt-i-am-a-grumpy-veteran-i-dont-care-t-shirt,,,,,,0,Color,Forest Green,1,0,Size,3XL,1,0,classic-editor,
,variation,5000-14370D-4XL,Forest Green / 4XL,1,0,visible,,,,,,,1,999,2,0,0,,,,,0,,26.95,,,,,https://cdn.shopify.com/s/files/1/0050/1429/0521/products/regular_25a92843-2520-43da-bcb0-ba9157d2833d.jpg?v=1601021294,,,5000-000000-Sveterans-shirt-i-am-a-grumpy-veteran-i-dont-care-t-shirt,,,,,,0,Color,Forest Green,1,0,Size,4XL,1,0,classic-editor,
,variation,5000-CD1D25-S,Red / S,1,0,visible,,,,,,,1,999,2,0,0,,,,,0,,22.95,,,,,https://cdn.shopify.com/s/files/1/0050/1429/0521/products/regular_e0b8cd4b-4e98-4e1e-a8c6-f304db2ea1c9.jpg?v=1601021294,,,5000-000000-Sveterans-shirt-i-am-a-grumpy-veteran-i-dont-care-t-shirt,,,,,,0,Color,Red,1,0,Size,S,1,0,classic-editor,
,variation,5000-CD1D25-M,Red / M,1,0,visible,,,,,,,1,999,2,0,0,,,,,0,,22.95,,,,,https://cdn.shopify.com/s/files/1/0050/1429/0521/products/regular_e0b8cd4b-4e98-4e1e-a8c6-f304db2ea1c9.jpg?v=1601021294,,,5000-000000-Sveterans-shirt-i-am-a-grumpy-veteran-i-dont-care-t-shirt,,,,,,0,Color,Red,1,0,Size,M,1,0,classic-editor,
,variation,5000-CD1D25-L,Red / L,1,0,visible,,,,,,,1,999,2,0,0,,,,,0,,22.95,,,,,https://cdn.shopify.com/s/files/1/0050/1429/0521/products/regular_e0b8cd4b-4e98-4e1e-a8c6-f304db2ea1c9.jpg?v=1601021294,,,5000-000000-Sveterans-shirt-i-am-a-grumpy-veteran-i-dont-care-t-shirt,,,,,,0,Color,Red,1,0,Size,L,1,0,classic-editor,
,variation,5000-CD1D25-XL,Red / XL,1,0,visible,,,,,,,1,999,2,0,0,,,,,0,,22.95,,,,,https://cdn.shopify.com/s/files/1/0050/1429/0521/products/regular_e0b8cd4b-4e98-4e1e-a8c6-f304db2ea1c9.jpg?v=1601021294,,,5000-000000-Sveterans-shirt-i-am-a-grumpy-veteran-i-dont-care-t-shirt,,,,,,0,Color,Red,1,0,Size,XL,1,0,classic-editor,
,variation,5000-CD1D25-2XL,Red / 2XL,1,0,visible,,,,,,,1,999,2,0,0,,,,,0,,24.95,,,,,https://cdn.shopify.com/s/files/1/0050/1429/0521/products/regular_e0b8cd4b-4e98-4e1e-a8c6-f304db2ea1c9.jpg?v=1601021294,,,5000-000000-Sveterans-shirt-i-am-a-grumpy-veteran-i-dont-care-t-shirt,,,,,,0,Color,Red,1,0,Size,2XL,1,0,classic-editor,
